                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82534,                0.46059,                0.96384,                0.75642,                0.66965,                0.68454,                0.45381,                 1.1843,                0.75428,                   1.12,              0.0033222,              0.0033222,              0.0033222
                      2,                0.86137,                0.47483,                0.97005,                 0.7302,                 0.6904,                0.67832,                0.43952,                 1.1943,                0.77702,                 1.1223,              0.0066523,              0.0066523,              0.0066523
                      3,                0.92871,                  0.512,                0.99609,                0.73536,                0.63689,                 0.6584,                0.41783,                 1.3017,                0.87007,                 1.1455,               0.009979,               0.009979,               0.009979
                      4,                 1.0295,                0.58535,                 1.0361,                0.72019,                0.64229,                0.64333,                0.40057,                 1.4279,                0.84912,                 1.1965,              0.0099851,              0.0099851,              0.0099851
                      5,                 1.0757,                0.61952,                 1.0575,                 0.6648,                0.59369,                0.60758,                0.37254,                 1.3738,                0.90655,                 1.1858,              0.0099802,              0.0099802,              0.0099802
                      6,                 1.1002,                0.63954,                 1.0701,                0.74427,                 0.5678,                0.60886,                0.38088,                 1.3912,                0.87818,                 1.1835,              0.0099753,              0.0099753,              0.0099753
                      7,                 1.1077,                0.64846,                 1.0771,                0.74116,                0.62611,                0.64807,                0.39108,                 1.3316,                0.82785,                  1.165,              0.0099703,              0.0099703,              0.0099703
                      8,                 1.0997,                0.63697,                 1.0724,                0.70417,                0.62946,                0.62676,                0.38604,                 1.3309,                0.81824,                 1.1594,              0.0099654,              0.0099654,              0.0099654
                      9,                 1.1109,                0.64578,                 1.0749,                0.69006,                0.62379,                 0.6324,                0.39126,                 1.4105,                0.85857,                 1.1852,              0.0099604,              0.0099604,              0.0099604
                     10,                 1.1092,                0.65011,                 1.0781,                0.69907,                0.61763,                0.62468,                0.38652,                 1.3883,                0.93872,                 1.1889,              0.0099555,              0.0099555,              0.0099555
                     11,                 1.1171,                0.65566,                 1.0796,                0.71721,                0.61183,                0.63815,                0.39076,                 1.3652,                0.85954,                 1.1762,              0.0099505,              0.0099505,              0.0099505
                     12,                 1.1134,                0.65669,                 1.0843,                0.74333,                0.62873,                0.64694,                0.40103,                 1.3366,                0.83973,                 1.1496,              0.0099456,              0.0099456,              0.0099456
                     13,                 1.1202,                 0.6492,                 1.0781,                0.71388,                0.64229,                0.65896,                  0.417,                 1.3103,                0.81505,                 1.1511,              0.0099406,              0.0099406,              0.0099406
                     14,                 1.1173,                0.65654,                 1.0843,                0.69377,                0.63289,                0.62461,                 0.3985,                 1.3378,                0.85453,                 1.1746,              0.0099357,              0.0099357,              0.0099357
                     15,                 1.1261,                0.65828,                 1.0891,                0.69985,                0.63183,                0.63711,                0.39728,                 1.3685,                 0.8629,                 1.1777,              0.0099307,              0.0099307,              0.0099307
                     16,                 1.1259,                0.66363,                 1.0792,                0.71725,                0.62636,                0.64285,                0.40121,                 1.3674,                0.87373,                 1.1793,              0.0099258,              0.0099258,              0.0099258
                     17,                 1.1042,                0.64408,                 1.0774,                0.69702,                0.61898,                0.63371,                0.39994,                 1.3369,                0.85068,                  1.169,              0.0099208,              0.0099208,              0.0099208
                     18,                 1.1274,                0.65929,                 1.0782,                0.72218,                0.59942,                0.62201,                0.38259,                 1.3412,                0.83207,                 1.1691,              0.0099159,              0.0099159,              0.0099159
                     19,                  1.112,                0.64819,                 1.0768,                0.75052,                0.60583,                0.64265,                0.38952,                  1.399,                0.85091,                  1.196,              0.0099109,              0.0099109,              0.0099109
                     20,                 1.1105,                0.65081,                  1.075,                0.69293,                0.61602,                0.62567,                0.38441,                  1.351,                0.84346,                 1.1662,               0.009906,               0.009906,               0.009906
                     21,                  1.129,                0.65402,                 1.0782,                 0.7065,                0.61035,                0.62657,                0.38632,                 1.3425,                0.85183,                 1.1612,               0.009901,               0.009901,               0.009901
                     22,                 1.1205,                0.65815,                 1.0821,                0.66408,                0.60497,                0.59409,                0.37026,                 1.3399,                0.84586,                 1.1696,              0.0098961,              0.0098961,              0.0098961
                     23,                 1.1171,                0.65555,                 1.0745,                0.73912,                0.61745,                0.63676,                 0.3914,                 1.3529,                0.83542,                 1.1794,              0.0098911,              0.0098911,              0.0098911
                     24,                 1.1089,                 0.6444,                 1.0784,                0.70187,                0.62488,                0.63441,                0.39281,                 1.3233,                0.83093,                 1.1557,              0.0098861,              0.0098861,              0.0098861
                     25,                  1.118,                0.65016,                 1.0768,                0.69391,                0.58897,                0.60036,                0.37827,                 1.4051,                0.89525,                 1.1941,              0.0098812,              0.0098812,              0.0098812
                     26,                 1.1124,                 0.6549,                 1.0838,                0.69869,                0.61063,                0.62914,                0.40418,                 1.3403,                0.83019,                 1.1736,              0.0098763,              0.0098763,              0.0098763
                     27,                 1.1134,                0.64778,                 1.0764,                0.69362,                0.64499,                0.65209,                0.41066,                 1.2976,                 0.8028,                  1.139,              0.0098713,              0.0098713,              0.0098713
                     28,                 1.1277,                0.65486,                 1.0775,                0.73201,                0.63628,                0.64318,                0.40368,                 1.2982,                0.79951,                 1.1583,              0.0098664,              0.0098664,              0.0098664
