                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3279,                 3.1296,                 2.0728,                 0.1999,                0.22625,                 0.1544,                0.06284,                 2.1267,                 2.1911,                 1.6154,              0.0033222,              0.0033222,              0.0033222
                      2,                 2.2037,                 2.3605,                 1.8286,                0.28068,                0.25322,                0.21552,                0.08279,                 2.2016,                 2.1391,                 1.6656,              0.0066523,              0.0066523,              0.0066523
                      3,                 2.2782,                 2.5034,                 1.8864,                0.13433,                0.15877,                0.07174,                0.02351,                 2.4375,                 3.4216,                 1.9491,               0.009979,               0.009979,               0.009979
                      4,                 2.3872,                 2.7569,                 1.9931,                0.20604,                  0.205,                0.12526,                0.04502,                 2.3519,                 2.6349,                 1.9011,              0.0099851,              0.0099851,              0.0099851
                      5,                 2.3479,                 2.6593,                  1.964,                0.19889,                0.23491,                0.15733,                0.05592,                 2.2467,                 2.4456,                  1.795,              0.0099802,              0.0099802,              0.0099802
                      6,                 2.2849,                 2.4999,                 1.9118,                0.20452,                0.24182,                0.17348,                 0.0699,                 2.1898,                  2.294,                 1.7023,              0.0099753,              0.0099753,              0.0099753
                      7,                 2.2297,                 2.3738,                 1.8652,                0.28619,                0.27578,                 0.2278,                0.09108,                 2.1538,                 2.0554,                 1.6695,              0.0099703,              0.0099703,              0.0099703
                      8,                 2.1723,                 2.2457,                 1.8216,                0.26981,                0.32104,                0.26405,                0.10337,                 2.1233,                 1.9226,                 1.6713,              0.0099654,              0.0099654,              0.0099654
                      9,                 2.1329,                 2.1291,                 1.7931,                0.34265,                0.30754,                0.28874,                0.12329,                 2.0146,                 1.8342,                 1.5627,              0.0099604,              0.0099604,              0.0099604
                     10,                 2.0935,                 2.0458,                 1.7632,                0.37632,                0.38225,                0.34002,                0.14868,                 1.9839,                 1.7272,                 1.5527,              0.0099555,              0.0099555,              0.0099555
                     11,                 2.0647,                 1.9902,                 1.7444,                0.38631,                 0.3537,                0.32894,                0.14129,                 1.9758,                 1.8616,                 1.5457,              0.0099505,              0.0099505,              0.0099505
