                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84129,                0.47418,                0.95312,                0.78223,                0.66403,                 0.6924,                0.47507,                 1.1632,                0.71161,                 1.0743,              0.0033222,              0.0033222,              0.0033222
                      2,                 0.8719,                0.47916,                0.95232,                0.74321,                0.66977,                 0.6771,                0.46329,                  1.205,                0.75115,                   1.09,              0.0066523,              0.0066523,              0.0066523
                      3,                0.93157,                0.51533,                0.96901,                0.74352,                 0.6915,                0.68498,                0.42596,                 1.2352,                 0.7606,                 1.0941,               0.009979,               0.009979,               0.009979
                      4,                 1.0674,                0.60253,                 1.0157,                0.73452,                0.62535,                0.65518,                0.40848,                 1.3125,                  0.806,                 1.1071,              0.0099851,              0.0099851,              0.0099851
                      5,                 1.0937,                0.62726,                 1.0358,                0.69465,                 0.6325,                0.63545,                0.39222,                 1.3596,                0.84187,                 1.1344,              0.0099802,              0.0099802,              0.0099802
                      6,                  1.117,                0.65281,                 1.0402,                0.70835,                0.62084,                0.63969,                0.40351,                 1.3354,                0.80843,                 1.1253,              0.0099753,              0.0099753,              0.0099753
                      7,                 1.1192,                0.64924,                 1.0439,                0.72188,                0.59557,                0.62079,                0.38661,                  1.331,                0.83797,                 1.1161,              0.0099703,              0.0099703,              0.0099703
                      8,                 1.1374,                0.66006,                 1.0512,                0.69034,                0.60827,                0.63147,                0.39063,                 1.3444,                0.82601,                 1.1235,              0.0099654,              0.0099654,              0.0099654
                      9,                 1.1287,                0.66257,                 1.0531,                0.73293,                0.58093,                0.60754,                0.38034,                 1.3806,                0.85315,                 1.1458,              0.0099604,              0.0099604,              0.0099604
                     10,                 1.1417,                0.66928,                 1.0569,                0.71132,                0.61665,                0.63997,                0.40448,                 1.3651,                0.83105,                 1.1284,              0.0099555,              0.0099555,              0.0099555
                     11,                 1.1566,                0.68068,                 1.0561,                0.69959,                0.60628,                0.63657,                0.39913,                 1.3509,                 0.8479,                  1.122,              0.0099505,              0.0099505,              0.0099505
                     12,                 1.1439,                0.67472,                 1.0579,                0.73316,                0.62163,                0.64381,                0.40651,                 1.3466,                0.82681,                 1.1358,              0.0099456,              0.0099456,              0.0099456
                     13,                 1.1357,                0.66305,                 1.0519,                0.74325,                0.59397,                0.62139,                0.38727,                 1.4268,                0.88198,                 1.1539,              0.0099406,              0.0099406,              0.0099406
                     14,                 1.1459,                0.67134,                 1.0635,                0.70406,                0.63405,                0.63048,                0.38226,                 1.3869,                0.84624,                 1.1398,              0.0099357,              0.0099357,              0.0099357
                     15,                 1.1545,                 0.6809,                 1.0623,                0.72111,                0.63908,                0.65426,                0.41396,                 1.3106,                0.78778,                 1.1101,              0.0099307,              0.0099307,              0.0099307
                     16,                 1.1479,                0.67733,                 1.0595,                0.73277,                0.59019,                 0.6389,                0.40381,                 1.3934,                0.88814,                 1.1482,              0.0099258,              0.0099258,              0.0099258
                     17,                 1.1647,                0.68712,                 1.0582,                0.70421,                0.63991,                 0.6401,                0.39672,                 1.3552,                0.80641,                 1.1441,              0.0099208,              0.0099208,              0.0099208
                     18,                 1.1579,                0.68339,                 1.0631,                0.68933,                0.63653,                0.64813,                0.40737,                 1.3638,                0.82826,                 1.1328,              0.0099159,              0.0099159,              0.0099159
