                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68332,                0.38859,                0.89949,                 0.7704,                0.69484,                0.69231,                0.48532,                 1.1301,                0.69679,                 1.0806,              0.0033222,              0.0033222,              0.0033222
                      2,                0.85679,                0.46404,                0.94478,                0.76866,                0.66281,                0.69009,                0.47178,                 1.1384,                0.72429,                 1.0724,              0.0066523,              0.0066523,              0.0066523
                      3,                0.92537,                 0.5082,                0.96828,                0.72718,                0.64491,                0.66031,                0.42513,                 1.3049,                0.79033,                 1.1246,               0.009979,               0.009979,               0.009979
                      4,                 1.0428,                0.59092,                  1.009,                0.69315,                0.61076,                0.61427,                0.38421,                 1.3637,                0.84243,                 1.1336,              0.0099851,              0.0099851,              0.0099851
                      5,                  1.088,                0.62602,                 1.0264,                 0.7116,                 0.6301,                0.64272,                0.40385,                   1.34,                0.83252,                 1.1246,              0.0099802,              0.0099802,              0.0099802
                      6,                  1.112,                0.64127,                 1.0389,                0.71799,                0.63517,                0.65173,                0.41322,                 1.2962,                0.77685,                 1.1067,              0.0099753,              0.0099753,              0.0099753
                      7,                 1.1124,                0.65377,                 1.0443,                0.73766,                0.61231,                0.65835,                0.40626,                 1.3622,                0.80663,                 1.1254,              0.0099703,              0.0099703,              0.0099703
                      8,                 1.1144,                0.64684,                 1.0428,                0.73623,                0.60973,                0.64602,                 0.4037,                 1.3721,                0.80796,                 1.1219,              0.0099654,              0.0099654,              0.0099654
                      9,                  1.128,                0.65935,                 1.0486,                0.70944,                0.62541,                0.64762,                0.40707,                 1.3619,                0.81094,                 1.1342,              0.0099604,              0.0099604,              0.0099604
                     10,                 1.1227,                0.65808,                 1.0471,                0.73013,                  0.619,                0.65835,                 0.4067,                 1.3112,                0.81381,                 1.1212,              0.0099555,              0.0099555,              0.0099555
                     11,                  1.134,                0.66325,                 1.0489,                0.69972,                0.60132,                0.62501,                0.38986,                 1.3751,                0.85747,                 1.1391,              0.0099505,              0.0099505,              0.0099505
                     12,                 1.1309,                0.66333,                 1.0521,                0.73916,                0.58099,                0.62842,                0.39383,                 1.3852,                0.85715,                 1.1546,              0.0099456,              0.0099456,              0.0099456
                     13,                 1.1375,                 0.6655,                 1.0471,                0.71163,                0.63729,                0.65329,                0.40925,                 1.3248,                0.79844,                 1.1132,              0.0099406,              0.0099406,              0.0099406
                     14,                 1.1384,                0.66821,                  1.051,                0.71752,                0.60501,                0.63905,                0.39398,                 1.3319,                0.80048,                 1.1104,              0.0099357,              0.0099357,              0.0099357
                     15,                 1.1436,                0.66959,                 1.0551,                0.77079,                0.62915,                0.67467,                0.41539,                 1.3462,                0.80455,                  1.116,              0.0099307,              0.0099307,              0.0099307
                     16,                 1.1495,                0.67444,                 1.0519,                 0.7461,                0.62553,                0.64116,                0.40836,                 1.3651,                0.82091,                 1.1339,              0.0099258,              0.0099258,              0.0099258
                     17,                 1.1279,                0.65821,                 1.0466,                0.71062,                0.62588,                0.64565,                0.39777,                 1.3694,                0.84028,                 1.1348,              0.0099208,              0.0099208,              0.0099208
                     18,                 1.1449,                0.66793,                 1.0495,                0.76317,                0.63921,                0.66242,                 0.4111,                 1.3502,                0.79352,                 1.1149,              0.0099159,              0.0099159,              0.0099159
                     19,                 1.1323,                0.66611,                 1.0478,                0.68801,                0.60815,                0.63417,                0.39878,                 1.3402,                0.82106,                  1.123,              0.0099109,              0.0099109,              0.0099109
