                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8441,                 3.3271,                 1.2331,                   0.06,                0.94737,                0.08081,                0.03581,                 1.9349,                 3.3029,                 1.0702,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.6291,                 3.4827,                 1.0956,                   0.06,                0.94737,                0.08046,                0.03498,                 1.9259,                 3.3002,                 1.0715,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                 1.6439,                 3.4173,                 1.1348,                0.06333,                      1,                0.08616,                 0.0358,                 1.9142,                 3.2933,                  1.071,             0.00015366,             0.00015366,             0.00015366
                      4,                 1.6737,                 3.4738,                 1.1524,                0.06333,                      1,                0.08642,                0.03613,                 1.9139,                 3.2812,                 1.0781,             0.00020693,             0.00020693,             0.00020693
                      5,                 1.7085,                  3.592,                 1.1231,                0.06333,                      1,                0.08642,                0.03613,                 1.9139,                 3.2812,                 1.0781,             0.00025782,             0.00025782,             0.00025782
                      6,                 1.6196,                 3.4243,                 1.1303,                0.06333,                      1,                0.08638,                0.03692,                 1.9008,                 3.2693,                 1.0843,             0.00030634,             0.00030634,             0.00030634
                      7,                 1.7638,                 3.5795,                 1.0732,                0.06333,                      1,                0.08638,                0.03692,                 1.9008,                 3.2693,                 1.0843,             0.00035248,             0.00035248,             0.00035248
                      8,                 1.7197,                 3.3881,                 1.1268,                0.06333,                      1,                0.08638,                0.03692,                 1.9008,                 3.2693,                 1.0843,             0.00039624,             0.00039624,             0.00039624
                      9,                 1.5466,                 3.4341,                  1.107,                0.06333,                      1,                0.08685,                0.03725,                 1.9276,                 3.2571,                  1.094,             0.00043763,             0.00043763,             0.00043763
                     10,                 1.7369,                 3.4424,                 1.1679,                0.06333,                      1,                0.08685,                0.03725,                 1.9276,                 3.2571,                  1.094,             0.00047664,             0.00047664,             0.00047664
                     11,                 1.7031,                 3.4969,                 1.0654,                0.06333,                      1,                0.08685,                0.03725,                 1.9276,                 3.2571,                  1.094,             0.00051328,             0.00051328,             0.00051328
                     12,                 1.7571,                 3.4205,                 1.1221,                0.06333,                      1,                0.08685,                0.03725,                 1.9276,                 3.2571,                  1.094,             0.00054754,             0.00054754,             0.00054754
                     13,                 1.7109,                 3.4131,                 1.1414,                   0.06,                0.94737,                 0.0849,                0.03563,                 1.9172,                 3.2578,                 1.0984,             0.00057942,             0.00057942,             0.00057942
                     14,                 1.6434,                 3.4218,                 1.1388,                   0.06,                0.94737,                 0.0849,                0.03563,                 1.9172,                 3.2578,                 1.0984,             0.00060893,             0.00060893,             0.00060893
                     15,                  1.629,                 3.4825,                 1.1096,                   0.06,                0.94737,                 0.0849,                0.03563,                 1.9172,                 3.2578,                 1.0984,             0.00063606,             0.00063606,             0.00063606
                     16,                 1.7324,                 3.3201,                 1.2048,                   0.06,                0.94737,                 0.0849,                0.03563,                 1.9172,                 3.2578,                 1.0984,             0.00066082,             0.00066082,             0.00066082
                     17,                 1.6781,                 3.4307,                 1.1398,                   0.06,                0.94737,                 0.0849,                0.03563,                 1.9172,                 3.2578,                 1.0984,              0.0006832,              0.0006832,              0.0006832
                     18,                 1.6866,                  3.378,                 1.1483,                0.06333,                      1,                0.13355,                 0.0507,                 1.4047,                 3.2547,                 1.0032,              0.0007032,              0.0007032,              0.0007032
                     19,                 1.9021,                 2.7582,                 1.2494,                0.06333,                      1,                0.13355,                 0.0507,                 1.4047,                 3.2547,                 1.0032,             0.00072083,             0.00072083,             0.00072083
                     20,                 2.0373,                  2.673,                 1.2648,                0.06333,                      1,                0.13355,                 0.0507,                 1.4047,                 3.2547,                 1.0032,             0.00073608,             0.00073608,             0.00073608
                     21,                 1.7367,                 2.7142,                 1.2392,                0.06333,                      1,                0.13355,                 0.0507,                 1.4047,                 3.2547,                 1.0032,             0.00074896,             0.00074896,             0.00074896
                     22,                  1.464,                 2.6149,                 1.1958,                0.06333,                      1,                0.13355,                 0.0507,                 1.4047,                 3.2547,                 1.0032,             0.00075946,             0.00075946,             0.00075946
                     23,                 1.8385,                 2.7587,                 1.1867,                0.06333,                      1,                0.13355,                 0.0507,                 1.4047,                 3.2547,                 1.0032,             0.00076758,             0.00076758,             0.00076758
                     24,                 1.3409,                 2.4338,                 1.1515,                0.06333,                      1,                0.13355,                 0.0507,                 1.4047,                 3.2547,                 1.0032,             0.00077333,             0.00077333,             0.00077333
                     25,                 1.4073,                 2.6503,                 1.1832,                0.06333,                      1,                0.13355,                 0.0507,                 1.4047,                 3.2547,                 1.0032,              0.0007767,              0.0007767,              0.0007767
                     26,                 1.8175,                 2.6789,                 1.2637,                0.06333,                      1,                0.13355,                 0.0507,                 1.4047,                 3.2547,                 1.0032,              0.0007777,              0.0007777,              0.0007777
                     27,                 1.8571,                 2.3639,                 1.2751,                0.06333,                      1,                0.44331,                0.26681,                 1.2378,                 2.5639,                0.95494,             0.00077632,             0.00077632,             0.00077632
                     28,                 1.3893,                 2.2408,                 1.0645,                0.06333,                      1,                0.44331,                0.26681,                 1.2378,                 2.5639,                0.95494,             0.00077256,             0.00077256,             0.00077256
                     29,                 1.3822,                 1.8569,                 1.0134,                0.06333,                      1,                0.44331,                0.26681,                 1.2378,                 2.5639,                0.95494,             0.00076643,             0.00076643,             0.00076643
                     30,                 1.3213,                 2.0309,                0.97311,                0.06333,                      1,                0.44331,                0.26681,                 1.2378,                 2.5639,                0.95494,             0.00075792,             0.00075792,             0.00075792
                     31,                 1.5804,                 2.0192,                 1.2588,                0.06333,                      1,                0.44331,                0.26681,                 1.2378,                 2.5639,                0.95494,             0.00074704,             0.00074704,             0.00074704
                     32,                 1.4821,                 2.0589,                 1.1826,                0.06333,                      1,                0.44331,                0.26681,                 1.2378,                 2.5639,                0.95494,             0.00073378,             0.00073378,             0.00073378
                     33,                 1.2281,                 2.1846,                 1.1316,                0.06333,                      1,                0.44331,                0.26681,                 1.2378,                 2.5639,                0.95494,             0.00071814,             0.00071814,             0.00071814
                     34,                 1.3064,                 1.8458,                 1.0371,                0.06333,                      1,                0.44331,                0.26681,                 1.2378,                 2.5639,                0.95494,              0.0006932,              0.0006932,              0.0006932
                     35,                  1.434,                 1.9272,                 1.1599,                0.06333,                      1,                0.44331,                0.26681,                 1.2378,                 2.5639,                0.95494,              0.0006536,              0.0006536,              0.0006536
                     36,                  1.368,                 1.9833,                 1.1421,                0.06333,                      1,                0.44331,                0.26681,                 1.2378,                 2.5639,                0.95494,               0.000614,               0.000614,               0.000614
                     37,                 1.5863,                 1.9974,                 1.2876,                0.99055,                0.94737,                 0.9925,                0.63469,                 1.2515,                 1.2405,                0.97898,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.1448,                 1.4515,                  1.076,                0.99055,                0.94737,                 0.9925,                0.63469,                 1.2515,                 1.2405,                0.97898,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.2815,                 1.3252,                 1.1203,                0.99055,                0.94737,                 0.9925,                0.63469,                 1.2515,                 1.2405,                0.97898,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.2321,                 1.3018,                 1.0919,                0.99055,                0.94737,                 0.9925,                0.63469,                 1.2515,                 1.2405,                0.97898,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.2474,                 1.3427,                 1.1623,                0.99055,                0.94737,                 0.9925,                0.63469,                 1.2515,                 1.2405,                0.97898,               0.000416,               0.000416,               0.000416
                     42,                 1.3053,                 1.2304,                 1.0494,                0.99055,                0.94737,                 0.9925,                0.63469,                 1.2515,                 1.2405,                0.97898,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.3243,                 1.3772,                 1.0954,                0.99055,                0.94737,                 0.9925,                0.63469,                 1.2515,                 1.2405,                0.97898,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.2813,                 1.2243,                 1.0777,                0.99055,                0.94737,                 0.9925,                0.63469,                 1.2515,                 1.2405,                0.97898,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.2749,                 1.3255,                 1.1166,                0.99055,                0.94737,                 0.9925,                0.63469,                 1.2515,                 1.2405,                0.97898,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.3267,                 1.3224,                 1.1074,                0.99055,                0.94737,                 0.9925,                0.63469,                 1.2515,                 1.2405,                0.97898,               0.000218,               0.000218,               0.000218
                     47,                 1.1069,                 1.2763,                 1.0521,                0.99055,                0.94737,                 0.9925,                0.63469,                 1.2515,                 1.2405,                0.97898,              0.0001784,              0.0001784,              0.0001784
                     48,                  1.079,                  1.221,                 1.0647,                 0.9979,                      1,                  0.995,                0.64157,                 1.2417,                0.90551,                0.96722,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.1462,                 1.2109,                 1.0945,                 0.9979,                      1,                  0.995,                0.64157,                 1.2417,                0.90551,                0.96722,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.1387,                 1.2389,                 1.1347,                 0.9979,                      1,                  0.995,                0.64157,                 1.2417,                0.90551,                0.96722,               5.96e-05,               5.96e-05,               5.96e-05
