                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 15.209,                      0,                      0,                      0,                      0,                      0,                      0,                 26.812,                      0,                  6e-05,                  6e-05,                  6e-05
                      2,                      0,                 15.196,                      0,                      0,                      0,                      0,                      0,                      0,                 26.797,                      0,             0.00013723,             0.00013723,             0.00013723
                      3,                      0,                 15.172,                      0,                      0,                      0,                      0,                      0,                      0,                 26.734,                      0,             0.00021129,             0.00021129,             0.00021129
                      4,                      0,                 15.171,                      0,                      0,                      0,                      0,                      0,                      0,                 26.734,                      0,             0.00028218,             0.00028218,             0.00028218
                      5,                      0,                 14.949,                      0,                      0,                      0,                      0,                      0,                      0,                 26.781,                      0,              0.0003499,              0.0003499,              0.0003499
                      6,                      0,                 14.856,                      0,                      0,                      0,                      0,                      0,                      0,                 26.781,                      0,             0.00041446,             0.00041446,             0.00041446
                      7,                      0,                  14.61,                      0,                      0,                      0,                      0,                      0,                      0,                 26.719,                      0,             0.00047585,             0.00047585,             0.00047585
                      8,                      0,                 14.526,                      0,                      0,                      0,                      0,                      0,                      0,                 26.719,                      0,             0.00053407,             0.00053407,             0.00053407
                      9,                      0,                 14.516,                      0,                      0,                      0,                      0,                      0,                      0,                 26.719,                      0,             0.00058912,             0.00058912,             0.00058912
                     10,                      0,                 14.274,                      0,                      0,                      0,                      0,                      0,                      0,                 26.484,                      0,               0.000641,               0.000641,               0.000641
                     11,                      0,                 14.182,                      0,                      0,                      0,                      0,                      0,                      0,                 26.484,                      0,             0.00068972,             0.00068972,             0.00068972
                     12,                      0,                 14.185,                      0,                      0,                      0,                      0,                      0,                      0,                 26.484,                      0,             0.00073527,             0.00073527,             0.00073527
                     13,                      0,                 14.205,                      0,                      0,                      0,                      0,                      0,                      0,                 26.484,                      0,             0.00077765,             0.00077765,             0.00077765
                     14,                      0,                 13.927,                      0,                      0,                      0,                      0,                      0,                      0,                 26.594,                      0,             0.00081686,             0.00081686,             0.00081686
                     15,                      0,                 13.696,                      0,                      0,                      0,                      0,                      0,                      0,                 26.594,                      0,              0.0008529,              0.0008529,              0.0008529
                     16,                      0,                 13.665,                      0,                      0,                      0,                      0,                      0,                      0,                 26.594,                      0,             0.00088578,             0.00088578,             0.00088578
                     17,                      0,                 13.668,                      0,                      0,                      0,                      0,                      0,                      0,                 26.594,                      0,             0.00091549,             0.00091549,             0.00091549
                     18,                      0,                 13.667,                      0,                      0,                      0,                      0,                      0,                      0,                 26.594,                      0,             0.00094203,             0.00094203,             0.00094203
                     19,                      0,                 13.672,                      0,                      0,                      0,                      0,                      0,                      0,                 26.594,                      0,              0.0009654,              0.0009654,              0.0009654
                     20,                      0,                 13.532,                      0,                      0,                      0,                      0,                      0,                      0,                  25.75,                      0,              0.0009856,              0.0009856,              0.0009856
                     21,                      0,                 13.089,                      0,                      0,                      0,                      0,                      0,                      0,                  25.75,                      0,              0.0010026,              0.0010026,              0.0010026
                     22,                      0,                 13.088,                      0,                      0,                      0,                      0,                      0,                      0,                  25.75,                      0,              0.0010165,              0.0010165,              0.0010165
                     23,                      0,                 13.107,                      0,                      0,                      0,                      0,                      0,                      0,                  25.75,                      0,              0.0010272,              0.0010272,              0.0010272
                     24,                      0,                 13.071,                      0,                      0,                      0,                      0,                      0,                      0,                  25.75,                      0,              0.0010347,              0.0010347,              0.0010347
                     25,                      0,                 13.072,                      0,                      0,                      0,                      0,                      0,                      0,                  25.75,                      0,              0.0010391,              0.0010391,              0.0010391
                     26,                      0,                   13.1,                      0,                      0,                      0,                      0,                      0,                      0,                  25.75,                      0,                0.00101,                0.00101,                0.00101
                     27,                      0,                 13.109,                      0,                      0,                      0,                      0,                      0,                      0,                  25.75,                      0,              0.0009704,              0.0009704,              0.0009704
                     28,                      0,                 12.899,                      0,                      0,                      0,                      0,                      0,                      0,                 24.938,                      0,              0.0009308,              0.0009308,              0.0009308
                     29,                      0,                 12.405,                      0,                      0,                      0,                      0,                      0,                      0,                 24.938,                      0,              0.0008912,              0.0008912,              0.0008912
                     30,                      0,                 12.427,                      0,                      0,                      0,                      0,                      0,                      0,                 24.938,                      0,              0.0008516,              0.0008516,              0.0008516
                     31,                      0,                 12.437,                      0,                      0,                      0,                      0,                      0,                      0,                 24.938,                      0,               0.000812,               0.000812,               0.000812
                     32,                      0,                 12.402,                      0,                      0,                      0,                      0,                      0,                      0,                 24.938,                      0,              0.0007724,              0.0007724,              0.0007724
                     33,                      0,                 12.381,                      0,                      0,                      0,                      0,                      0,                      0,                 24.938,                      0,              0.0007328,              0.0007328,              0.0007328
                     34,                      0,                 12.385,                      0,                      0,                      0,                      0,                      0,                      0,                 24.938,                      0,              0.0006932,              0.0006932,              0.0006932
                     35,                      0,                 12.415,                      0,                      0,                      0,                      0,                      0,                      0,                 24.938,                      0,              0.0006536,              0.0006536,              0.0006536
                     36,                      0,                 12.292,                      0,                      0,                      0,                      0,                      0,                      0,                 21.906,                      0,               0.000614,               0.000614,               0.000614
                     37,                      0,                 11.867,                      0,                      0,                      0,                      0,                      0,                      0,                 21.906,                      0,              0.0005744,              0.0005744,              0.0005744
                     38,                      0,                 11.845,                      0,                      0,                      0,                      0,                      0,                      0,                 21.906,                      0,              0.0005348,              0.0005348,              0.0005348
                     39,                      0,                 11.856,                      0,                      0,                      0,                      0,                      0,                      0,                 21.906,                      0,              0.0004952,              0.0004952,              0.0004952
                     40,                      0,                 11.842,                      0,                      0,                      0,                      0,                      0,                      0,                 21.906,                      0,              0.0004556,              0.0004556,              0.0004556
                     41,                      0,                 11.858,                      0,                      0,                      0,                      0,                      0,                      0,                 21.906,                      0,               0.000416,               0.000416,               0.000416
                     42,                      0,                 11.832,                      0,                      0,                      0,                      0,                      0,                      0,                 21.906,                      0,              0.0003764,              0.0003764,              0.0003764
                     43,                      0,                 11.848,                      0,                      0,                      0,                      0,                      0,                      0,                 21.906,                      0,              0.0003368,              0.0003368,              0.0003368
                     44,                      0,                 11.779,                      0,                      0,                      0,                      0,                      0,                      0,                  21.25,                      0,              0.0002972,              0.0002972,              0.0002972
                     45,                      0,                 11.581,                      0,                      0,                      0,                      0,                      0,                      0,                  21.25,                      0,              0.0002576,              0.0002576,              0.0002576
                     46,                      0,                 11.588,                      0,                      0,                      0,                      0,                      0,                      0,                  21.25,                      0,               0.000218,               0.000218,               0.000218
                     47,                      0,                 11.603,                      0,                      0,                      0,                      0,                      0,                      0,                  21.25,                      0,              0.0001784,              0.0001784,              0.0001784
