                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.959,                 3.6996,                 1.2675,                0.01333,                    0.8,                0.01342,                0.00549,                 2.3672,                 3.4901,                 1.1864,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.8556,                 3.7395,                 1.1848,                0.01333,                    0.8,                0.01579,                0.00636,                 2.3973,                 3.4871,                 1.1896,             0.00013723,             0.00013723,             0.00013723
                      3,                 1.9241,                 4.0556,                 1.2098,                0.01333,                    0.8,                 0.0173,                0.00603,                 2.3885,                 3.4908,                  1.195,             0.00021129,             0.00021129,             0.00021129
                      4,                 1.8576,                 3.7577,                 1.2279,                0.01333,                    0.8,                 0.0173,                0.00603,                 2.3885,                 3.4908,                  1.195,             0.00028218,             0.00028218,             0.00028218
                      5,                 1.6022,                 3.3981,                 1.0495,                0.01667,                      1,                0.02961,                0.00973,                 2.5656,                 3.4935,                 1.2577,              0.0003499,              0.0003499,              0.0003499
                      6,                 1.5046,                 3.3597,                  1.026,                0.01667,                      1,                0.02961,                0.00973,                 2.5656,                 3.4935,                 1.2577,             0.00041446,             0.00041446,             0.00041446
                      7,                 1.5442,                 3.3533,                0.98323,                0.01667,                      1,                0.03052,                0.01266,                 2.3988,                 3.4895,                 1.2267,             0.00047585,             0.00047585,             0.00047585
                      8,                 1.5407,                 3.4274,                 1.0076,                0.01667,                      1,                0.03052,                0.01266,                 2.3988,                 3.4895,                 1.2267,             0.00053407,             0.00053407,             0.00053407
                      9,                 1.5499,                 3.3242,                  1.031,                0.01667,                      1,                0.03052,                0.01266,                 2.3988,                 3.4895,                 1.2267,             0.00058912,             0.00058912,             0.00058912
                     10,                 1.7456,                 3.4718,                 1.1121,                0.01333,                    0.8,                0.01917,                 0.0079,                   2.31,                 3.3917,                 1.1937,               0.000641,               0.000641,               0.000641
                     11,                 1.4786,                 3.3294,                0.95363,                0.01333,                    0.8,                0.01917,                 0.0079,                   2.31,                 3.3917,                 1.1937,             0.00068972,             0.00068972,             0.00068972
                     12,                 1.6207,                 3.5155,                 1.0594,                0.01333,                    0.8,                0.01917,                 0.0079,                   2.31,                 3.3917,                 1.1937,             0.00073527,             0.00073527,             0.00073527
                     13,                 1.4394,                 3.3068,                 1.0274,                0.01333,                    0.8,                0.01917,                 0.0079,                   2.31,                 3.3917,                 1.1937,             0.00077765,             0.00077765,             0.00077765
                     14,                 1.6652,                  3.438,                 1.0909,                0.01333,                    0.8,                0.01662,                0.00742,                  2.109,                 3.4579,                 1.1326,             0.00081686,             0.00081686,             0.00081686
                     15,                 1.4758,                 3.3658,                0.99313,                0.01333,                    0.8,                0.01662,                0.00742,                  2.109,                 3.4579,                 1.1326,              0.0008529,              0.0008529,              0.0008529
                     16,                 1.4528,                 3.2336,                0.99858,                0.01333,                    0.8,                0.01662,                0.00742,                  2.109,                 3.4579,                 1.1326,             0.00088578,             0.00088578,             0.00088578
                     17,                 1.4846,                 3.4445,                 1.0468,                0.01333,                    0.8,                0.01662,                0.00742,                  2.109,                 3.4579,                 1.1326,             0.00091549,             0.00091549,             0.00091549
                     18,                 1.4418,                 3.3299,                 1.0222,                0.01333,                    0.8,                0.01662,                0.00742,                  2.109,                 3.4579,                 1.1326,             0.00094203,             0.00094203,             0.00094203
                     19,                 1.4141,                  3.368,                 0.9934,                0.01333,                    0.8,                0.01662,                0.00742,                  2.109,                 3.4579,                 1.1326,              0.0009654,              0.0009654,              0.0009654
                     20,                 1.5271,                 3.0265,                0.99584,                0.01667,                      1,                0.60143,                0.39409,                 1.3119,                 2.8143,                 0.9854,              0.0009856,              0.0009856,              0.0009856
                     21,                 1.7478,                 2.1351,                 1.0625,                0.01667,                      1,                0.60143,                0.39409,                 1.3119,                 2.8143,                 0.9854,              0.0010026,              0.0010026,              0.0010026
                     22,                 1.9067,                  2.049,                 1.1058,                0.01667,                      1,                0.60143,                0.39409,                 1.3119,                 2.8143,                 0.9854,              0.0010165,              0.0010165,              0.0010165
                     23,                 1.7823,                 2.0534,                 1.1088,                0.01667,                      1,                0.60143,                0.39409,                 1.3119,                 2.8143,                 0.9854,              0.0010272,              0.0010272,              0.0010272
                     24,                 1.5003,                 2.0628,                 1.0228,                0.01667,                      1,                0.60143,                0.39409,                 1.3119,                 2.8143,                 0.9854,              0.0010347,              0.0010347,              0.0010347
                     25,                 1.6518,                 2.1337,                 1.0369,                0.01667,                      1,                0.60143,                0.39409,                 1.3119,                 2.8143,                 0.9854,              0.0010391,              0.0010391,              0.0010391
                     26,                 1.7974,                 1.9881,                 1.0777,                0.01667,                      1,                0.60143,                0.39409,                 1.3119,                 2.8143,                 0.9854,                0.00101,                0.00101,                0.00101
                     27,                 1.5091,                  2.106,                 1.0717,                0.01667,                      1,                0.60143,                0.39409,                 1.3119,                 2.8143,                 0.9854,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.7025,                 1.9803,                 1.1367,                0.59962,                      1,                   0.88,                0.52762,                 1.2408,                  1.659,                  1.016,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.6949,                 1.8013,                 1.1331,                0.59962,                      1,                   0.88,                0.52762,                 1.2408,                  1.659,                  1.016,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.6619,                 1.6702,                 1.1738,                0.59962,                      1,                   0.88,                0.52762,                 1.2408,                  1.659,                  1.016,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.4904,                 1.5021,                 1.0702,                0.59962,                      1,                   0.88,                0.52762,                 1.2408,                  1.659,                  1.016,               0.000812,               0.000812,               0.000812
                     32,                 1.6605,                 1.9489,                  1.084,                0.59962,                      1,                   0.88,                0.52762,                 1.2408,                  1.659,                  1.016,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.6068,                 1.7379,                 1.1266,                0.59962,                      1,                   0.88,                0.52762,                 1.2408,                  1.659,                  1.016,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.8166,                 1.5873,                   1.16,                0.59962,                      1,                   0.88,                0.52762,                 1.2408,                  1.659,                  1.016,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.7148,                 1.6439,                 1.1542,                0.59962,                      1,                   0.88,                0.52762,                 1.2408,                  1.659,                  1.016,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.6383,                 1.8078,                  1.115,                0.97599,                      1,                  0.995,                0.61136,                 1.1287,                 1.0829,                 1.0031,               0.000614,               0.000614,               0.000614
                     37,                 1.4184,                 1.6426,                 1.0827,                0.97599,                      1,                  0.995,                0.61136,                 1.1287,                 1.0829,                 1.0031,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.2581,                 1.1919,                0.95112,                0.97599,                      1,                  0.995,                0.61136,                 1.1287,                 1.0829,                 1.0031,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.6074,                 1.4869,                 1.0606,                0.97599,                      1,                  0.995,                0.61136,                 1.1287,                 1.0829,                 1.0031,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.3105,                 1.2557,                 1.0105,                0.97599,                      1,                  0.995,                0.61136,                 1.1287,                 1.0829,                 1.0031,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.3876,                 2.1097,                 1.0651,                0.97599,                      1,                  0.995,                0.61136,                 1.1287,                 1.0829,                 1.0031,               0.000416,               0.000416,               0.000416
                     42,                   1.46,                 2.1972,                 1.0537,                0.97599,                      1,                  0.995,                0.61136,                 1.1287,                 1.0829,                 1.0031,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.3398,                 2.2308,                 1.0897,                0.97599,                      1,                  0.995,                0.61136,                 1.1287,                 1.0829,                 1.0031,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.5377,                   2.27,                 1.0976,                0.82445,                      1,                0.96167,                0.59316,                 1.1917,                 1.0746,                 1.0115,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.2677,                 1.5549,                0.97669,                0.82445,                      1,                0.96167,                0.59316,                 1.1917,                 1.0746,                 1.0115,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.2575,                 1.6745,                0.96062,                0.82445,                      1,                0.96167,                0.59316,                 1.1917,                 1.0746,                 1.0115,               0.000218,               0.000218,               0.000218
                     47,                 1.2821,                 1.7175,                 1.0256,                0.82445,                      1,                0.96167,                0.59316,                 1.1917,                 1.0746,                 1.0115,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.1663,                  1.486,                 1.0105,                0.82445,                      1,                0.96167,                0.59316,                 1.1917,                 1.0746,                 1.0115,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.3228,                 1.5262,                0.96317,                0.82445,                      1,                0.96167,                0.59316,                 1.1917,                 1.0746,                 1.0115,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.3251,                 1.4844,                  1.002,                0.82445,                      1,                0.96167,                0.59316,                 1.1917,                 1.0746,                 1.0115,               5.96e-05,               5.96e-05,               5.96e-05
