                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6259,                 1.1713,                 1.3449,                0.58185,                0.54459,                 0.5614,                0.31925,                 1.6013,                 1.0922,                 1.2425,              0.0098367,              0.0098367,              0.0098367
                     35,                 1.6081,                 1.1497,                 1.3388,                0.57021,                 0.5551,                0.56234,                 0.3118,                 1.6102,                 1.0779,                 1.2381,              0.0098317,              0.0098317,              0.0098317
                     36,                 1.6068,                 1.1501,                 1.3375,                 0.6072,                0.57297,                0.56375,                0.32463,                 1.5716,                 1.0466,                 1.2315,              0.0098268,              0.0098268,              0.0098268
                     37,                 1.5862,                 1.1195,                 1.3322,                0.58739,                0.57358,                0.57483,                 0.3219,                 1.5925,                 1.0655,                 1.2349,              0.0098218,              0.0098218,              0.0098218
                     38,                 1.5825,                 1.1126,                  1.326,                0.58803,                0.55539,                0.57432,                0.33175,                 1.5646,                 1.0588,                 1.2255,              0.0098169,              0.0098169,              0.0098169
                     39,                 1.5687,                 1.1008,                 1.3174,                0.58327,                0.56242,                0.56402,                0.32518,                 1.5749,                 1.0692,                 1.2169,              0.0098119,              0.0098119,              0.0098119
                     40,                  1.563,                 1.0964,                 1.2996,                 0.6198,                0.55417,                0.55418,                0.32302,                 1.5601,                 1.0818,                 1.2079,               0.009807,               0.009807,               0.009807
                     41,                 1.5581,                 1.1002,                 1.3084,                0.68606,                0.53791,                0.58083,                0.32786,                 1.5695,                 1.0633,                 1.2222,               0.009802,               0.009802,               0.009802
                     42,                 1.5394,                  1.071,                 1.3024,                0.57954,                0.57962,                0.58074,                 0.3284,                 1.5677,                 1.0466,                 1.2211,               0.009797,               0.009797,               0.009797
                     43,                 1.5312,                 1.0693,                 1.2977,                0.59769,                0.56593,                0.56241,                0.33388,                 1.5288,                 1.0332,                 1.2046,              0.0097921,              0.0097921,              0.0097921
                     44,                 1.5312,                 1.0607,                 1.2955,                0.60551,                0.56985,                0.59386,                0.34343,                 1.5561,                 1.0134,                 1.2219,              0.0097871,              0.0097871,              0.0097871
                     45,                 1.5201,                 1.0478,                 1.2814,                0.77064,                0.52819,                0.59743,                0.33231,                 1.5308,                 1.0164,                 1.2074,              0.0097822,              0.0097822,              0.0097822
                     46,                 1.5278,                 1.0474,                 1.2779,                  0.634,                0.55712,                0.58348,                0.33754,                 1.5361,                 1.0231,                 1.2038,              0.0097773,              0.0097773,              0.0097773
                     47,                 1.5045,                 1.0308,                 1.2774,                0.66127,                0.60035,                0.61277,                0.34383,                  1.534,                 1.0015,                 1.2022,              0.0097723,              0.0097723,              0.0097723
                     48,                 1.5007,                 1.0238,                 1.2681,                0.65877,                0.58819,                0.60431,                 0.3571,                 1.5125,                0.98542,                  1.199,              0.0097674,              0.0097674,              0.0097674
                     49,                 1.4789,                 1.0049,                 1.2595,                0.65268,                0.58374,                0.59903,                0.36036,                 1.5031,                0.99018,                 1.2018,              0.0097624,              0.0097624,              0.0097624
                     50,                 1.4859,                 1.0108,                 1.2612,                0.66037,                0.59163,                0.59663,                 0.3554,                 1.5252,                 0.9914,                 1.2045,              0.0097575,              0.0097575,              0.0097575
                     51,                 1.4847,                 1.0109,                 1.2575,                0.65581,                0.58027,                0.61676,                0.36214,                 1.4992,                0.97375,                 1.1934,              0.0097525,              0.0097525,              0.0097525
                     52,                 1.4831,                0.99491,                 1.2562,                0.66202,                0.57037,                0.60859,                0.34995,                 1.5015,                0.98451,                 1.1844,              0.0097476,              0.0097476,              0.0097476
