                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73768,                0.41388,                0.91452,                0.79029,                0.66836,                0.69193,                0.48151,                 1.1145,                0.68518,                 1.0706,              0.0033222,              0.0033222,              0.0033222
                      2,                0.85326,                0.46529,                0.94253,                0.74127,                0.67651,                0.68964,                0.47095,                 1.1475,                0.73462,                 1.0702,              0.0066523,              0.0066523,              0.0066523
                      3,                0.92507,                0.50907,                0.96612,                0.70592,                0.66903,                0.65788,                0.42835,                 1.3064,                0.78951,                 1.1255,               0.009979,               0.009979,               0.009979
                      4,                 1.0417,                0.58829,                 1.0104,                0.68026,                0.63028,                0.63909,                0.40055,                   1.35,                0.81455,                 1.1292,              0.0099851,              0.0099851,              0.0099851
                      5,                 1.0871,                0.62308,                 1.0246,                0.72061,                0.58098,                0.61958,                 0.3938,                 1.3572,                0.86096,                 1.1481,              0.0099802,              0.0099802,              0.0099802
                      6,                 1.1094,                 0.6434,                 1.0378,                0.71652,                0.63006,                0.66416,                0.41479,                 1.3519,                0.81801,                 1.1293,              0.0099753,              0.0099753,              0.0099753
                      7,                 1.1138,                0.65452,                 1.0428,                0.74897,                0.59367,                0.64639,                0.39936,                 1.3666,                 0.8331,                  1.124,              0.0099703,              0.0099703,              0.0099703
                      8,                 1.1153,                0.64329,                 1.0405,                0.63605,                0.62928,                0.60916,                0.38131,                  1.478,                0.90776,                 1.1944,              0.0099654,              0.0099654,              0.0099654
                      9,                 1.1255,                0.65597,                 1.0428,                0.70152,                0.61776,                0.62916,                0.39403,                 1.3097,                 0.8132,                 1.1176,              0.0099604,              0.0099604,              0.0099604
                     10,                 1.1239,                0.66035,                 1.0471,                0.71073,                0.63365,                0.67257,                0.40892,                 1.3433,                0.80183,                 1.1296,              0.0099555,              0.0099555,              0.0099555
                     11,                 1.1347,                0.66316,                 1.0487,                0.72367,                 0.6298,                0.64984,                0.39857,                 1.3498,                0.86256,                 1.1417,              0.0099505,              0.0099505,              0.0099505
                     12,                 1.1251,                0.66326,                 1.0481,                0.72499,                0.58648,                0.63974,                0.40054,                 1.3619,                0.85543,                 1.1541,              0.0099456,              0.0099456,              0.0099456
                     13,                 1.1382,                0.66294,                 1.0495,                0.73021,                0.65382,                0.65278,                0.41305,                 1.2881,                0.80272,                 1.1029,              0.0099406,              0.0099406,              0.0099406
                     14,                 1.1344,                0.66287,                 1.0497,                 0.7412,                0.57803,                0.61539,                0.39443,                 1.3497,                0.83892,                 1.1332,              0.0099357,              0.0099357,              0.0099357
