                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7648,                 3.4495,                 1.1713,                0.03917,                0.90385,                0.04412,                0.01741,                 2.0461,                 3.3348,                 1.1164,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.6546,                 3.4937,                 1.1141,                0.03917,                0.90385,                0.04308,                0.01703,                 2.0364,                 3.3312,                 1.1185,             0.00013723,             0.00013723,             0.00013723
                      3,                 1.6642,                 3.3798,                  1.121,                   0.04,                0.92308,                0.04299,                 0.0162,                 2.0824,                 3.3311,                 1.1356,             0.00021129,             0.00021129,             0.00021129
                      4,                 1.8364,                 3.5302,                 1.2199,                   0.04,                0.92308,                0.04299,                 0.0162,                 2.0824,                 3.3311,                 1.1356,             0.00028218,             0.00028218,             0.00028218
                      5,                 1.6907,                 3.4668,                 1.1201,                0.03917,                0.90385,                0.04133,                0.01665,                 2.0326,                 3.3275,                 1.1229,              0.0003499,              0.0003499,              0.0003499
                      6,                 1.7573,                 3.3932,                 1.1865,                0.03917,                0.90385,                0.04133,                0.01665,                 2.0326,                 3.3275,                 1.1229,             0.00041446,             0.00041446,             0.00041446
                      7,                 1.3785,                 3.0802,                 1.0233,                0.04333,                      1,                0.08089,                0.04912,                 1.3759,                 3.2194,                0.93975,             0.00047585,             0.00047585,             0.00047585
                      8,                 1.5611,                 2.8904,                 1.0241,                0.04333,                      1,                0.08089,                0.04912,                 1.3759,                 3.2194,                0.93975,             0.00053407,             0.00053407,             0.00053407
                      9,                 1.4325,                 2.9215,                   1.03,                0.04333,                      1,                0.08089,                0.04912,                 1.3759,                 3.2194,                0.93975,             0.00058912,             0.00058912,             0.00058912
                     10,                 1.3627,                 2.9453,                 1.0013,                0.04333,                      1,                   0.08,                 0.0491,                 1.3541,                 3.2011,                0.93429,               0.000641,               0.000641,               0.000641
                     11,                 1.3331,                 2.9038,                0.98518,                0.04333,                      1,                   0.08,                 0.0491,                 1.3541,                 3.2011,                0.93429,             0.00068972,             0.00068972,             0.00068972
